Temperature (°C),kavg (s^-1),k1 (s^-1),k2 (s^-1),k3 (s^-1)
47.0,0.006103490552140405,0.0059973139017114535,0.0063134598291369574,0.0059996979255728
24.4,0.0012724755823409328,0.0013792314320550149,0.0014717661049118555,0.0009664292100559279
37.0,0.0029269719297487207,nan,0.0032041387549001854,0.002649805104597256
