Time (sec),Conc Ea (mol/L)
0.0,0.05
5.0,0.04878223495702006
10.0,0.04742120343839542
15.0,0.04606017191977077
20.0,0.044985673352435536
25.0,0.04383954154727794
30.0,0.0427650429799427
35.0,0.04169054441260745
40.0,0.04068767908309455
45.0,0.039756446991400414
50.0,0.038839541547274196
55.0,0.038137535816618405
60.0,0.0372922636103126
65.0,0.03633237822349571
70.0,0.035565902578794904
75.0,0.0348209169054426
80.0,0.03409742120343699
85.0,0.03340257879656043
90.0,0.032779369627506605
95.0,0.03214183381088748
100.0,0.031518624641833075
105.0,0.03092406876790773
110.0,0.03035100286532902
115.0,0.029799426934097012
120.0,0.029262177650429426
125.0,0.028846704871060124
130.0,0.02833810888252119
135.0,0.027858166189111536
140.0,0.02739255014326628
145.0,0.026934097421203246
150.0,0.026489971346704704
155.0,0.026060171919770628
160.0,0.025730659025787948
165.0,0.02532951289398271
170.0,0.024921203438395285
175.0,0.024541547277936886
180.0,0.024176217765042918
185.0,0.023818051575931167
190.0,0.023531518624641822
195.0,0.023187679083094503
200.0,0.022858166189111705
205.0,0.022528653295128893
210.0,0.022213467048710567
215.0,0.021912607449856705
220.0,0.021604584527220597
225.0,0.0213538681948424
230.0,0.021067335243552983
235.0,0.020787965616045827
240.0,0.020530085959885373
245.0,0.020265042979942676
250.0,0.020007163323782218
255.0,0.01974928366762176
260.0,0.01955587392550143
265.0,0.019319484240687673
270.0,0.01893266475644641
275.0,0.018710601719197705
280.0,0.01847421203438394
285.0,0.01825214899713466
290.0,0.01804441260744985
295.0,0.01785100286532951
300.0,0.017636103151862457
305.0,0.017428366762177638
310.0,0.017227793696275064
315.0,0.01704154727793696
320.0,0.01684097421203438
325.0,0.016661891117478504
330.0,0.016511461318051573
335.0,0.016339541547277934
340.0,0.016160458452722064
345.0,0.015988538681948425
350.0,0.01581661891117478
355.0,0.015651862464183378
360.0,0.015530085959885384
365.0,0.01537249283667622
370.0,0.015200573065902574
375.0,0.01506446991404011
380.0,0.01490687679083094
385.0,0.014763610315186247
390.0,0.014606017191977074
395.0,0.014491404011461312
400.0,0.014355300859598854
405.0,0.014226361031518624
410.0,0.014083094555873926
415.0,0.013946991404011462
420.0,0.013810888252148991
425.0,0.013689111747851
430.0,0.013581661891117478
435.0,0.013452722063037246
440.0,0.013345272206303724
445.0,0.013202005730659019
450.0,0.01308739255014327
455.0,0.01296561604584527
460.0,0.012851002865329511
465.0,0.012765042979942694
470.0,0.012657593123209172
475.0,0.012542979942693407
480.0,0.012435530085959884
485.0,0.012328080229226362
490.0,0.012227793696275071
495.0,0.012127507163323776
500.0,0.012020057306590252
505.0,0.011905444126074497
510.0,0.01181232091690544
515.0,0.011712034383954155
520.0,0.011626074498567332
525.0,0.011540114613180516
530.0,0.011468481375358167
535.0,0.011361031518624639
540.0,0.011282234957020054
545.0,0.011203438395415469
550.0,0.01111031518624642
555.0,0.011024355300859599
560.0,0.010924068767908305
565.0,0.010866762177650433
570.0,0.010780802292263612
575.0,0.010694842406876787
580.0,0.01061604584527221
585.0,0.010530085959885388
590.0,0.010444126074498563
595.0,0.010372492836676215
600.0,0.010308022922636098
