Time (sec),Conc Ea (mol/L)
0.0,0.05
5.0,0.044722026741731175
10.0,0.04303307529908515
15.0,0.04093596059113302
20.0,0.0386418015482055
25.0,0.03665024630541872
30.0,0.03458128078817735
35.0,0.03306826178747361
40.0,0.031491907107670664
45.0,0.029936664320900783
50.0,0.028613652357494725
55.0,0.02734693877551021
60.0,0.026213933849401832
65.0,0.02514426460239268
70.0,0.02411681914144969
75.0,0.023166783954961304
80.0,0.022294159042927513
85.0,0.02161154116819142
90.0,0.020823363828289938
95.0,0.020091484869809998
100.0,0.0194933145672062
105.0,0.018817733990147783
110.0,0.01823363828289937
115.0,0.01764954257565095
120.0,0.017107670654468686
125.0,0.016579873328641803
130.0,0.016094299788881074
135.0,0.015636875439831107
140.0,0.015214637579169606
145.0,0.014764250527797328
150.0,0.014356087262491206
155.0,0.013947923997185084
160.0,0.013567909922589726
165.0,0.0131667839549613
170.0,0.012927515833919604
175.0,0.012603800140745958
180.0,0.012251935256861371
185.0,0.01200562983814178
190.0,0.011646727656579878
195.0,0.011315974665728359
200.0,0.011062631949330621
205.0,0.010724841660802254
210.0,0.010499648135115653
215.0,0.010267417311751582
220.0,0.010049261083743346
225.0,0.009809992962702326
230.0,0.009584799437015297
235.0,0.009472202674173116
240.0,0.009275158339197362
245.0,0.009106263194933016
250.0,0.008909218859957267
255.0,0.00871217452498181
260.0,0.008451794510907816
265.0,0.008332160450387038
270.0,0.008071780436312457
275.0,0.007966220971147077
280.0,0.007769176636171711
285.0,0.007536945812807886
290.0,0.00745953553835327
295.0,0.007339901477832471
300.0,0.007192118226600759
305.0,0.007072484166080178
310.0,0.006931738212526192
315.0,0.0067628430682617905
320.0,0.006699507389162562
325.0,0.006537649542575647
330.0,0.006396903589021463
335.0,0.006298381421534112
340.0,0.006228008444757211
345.0,0.0061224489795917904
350.0,0.0060239268121041216
355.0,0.005953553835327233
360.0,0.005777621393384945
365.0,0.00570724841660802
370.0,0.005601688951442559
375.0,0.005503166783954905
380.0,0.005432793807178042
385.0,0.005362420830401119
390.0,0.005256861365235611
395.0,0.005151301900070215
400.0,0.00506685432793804
405.0,0.004996481351161148
410.0,0.0049120337790288186
415.0,0.004834623504574225
420.0,0.004750175932441893
425.0,0.0046446164672762375
430.0,0.004560168895144207
435.0,0.0044897959183673305
440.0,0.004426460239268111
445.0,0.004334975369457962
450.0,0.004264602392681186
455.0,0.004236453201970446
460.0,0.00413793103448276
465.0,0.004067558057705811
470.0,0.003990147783251153
475.0,0.003912737508796531
480.0,0.003849401829697374
485.0,0.0037649542575648553
490.0,0.0037368050668543326
495.0,0.0037227304714989445
500.0,0.0036030964109781817
505.0,0.0035749472202674178
510.0,0.0034975369458126065
515.0,0.003427163969035783
520.0,0.0034834623504574093
525.0,0.0033990147783251276
530.0,0.0033497536945812736
535.0,0.0032793807178042172
540.0,0.003209007741027277
545.0,0.0031878958479943727
550.0,0.0031175228712172465
555.0,0.0030964109781843807
560.0,0.0030682617874736103
565.0,0.0029627023223082354
570.0,0.002934553131597465
575.0,0.0029134412385643893
580.0,0.0028712174524982374
585.0,0.002821956368754379
590.0,0.0027797325826882436
595.0,0.002716396903588786
600.0,0.0026952850105559467
605.0,0.0025967628430682605
610.0,0.0025967628430682605
615.0,0.0025475017593243705
620.0,0.0024912033779027165
625.0,0.0024560168895144236
630.0,0.002456016889514428
635.0,0.002427867698803657
640.0,0.002392681210415194
645.0,0.002336382828993666
650.0,0.0022871217452497196
655.0,0.0022519352568613595
660.0,0.002195636875439833
665.0,0.002174524982406757
670.0,0.0021323011963405546
675.0,0.0020971147079521333
680.0,0.0020830401125967652
685.0,0.0020478536242082915
690.0,0.002012667135819831
695.0,0.0019915552427867728
700.0,0.0019563687543982934
705.0,0.0019352568613652382
710.0,0.0018930330752989703
715.0,0.0018508092892327982
720.0,0.0018296973961998573
725.0,0.0017945109078113604
730.0,0.0017663617171006286
735.0,0.001745249824067559
740.0,0.0017171006333567805
745.0,0.0016608022519352616
750.0,0.0016608022519352618
755.0,0.0016045038705137214
760.0,0.001590429275158339
765.0,0.0015552427867697742
770.0,0.0015411681914144929
775.0,0.001505981703025901
780.0,0.0014919071076706528
785.0,0.0014778325123152708
790.0,0.0014426460239268127
795.0,0.0014215341308937335
800.0,0.001393384940182934
805.0,0.0013722730471498923
810.0,0.0013441238564390768
815.0,0.0013159746657283047
820.0,0.0012948627726952796
825.0,0.0012737508796622028
830.0,0.001266713581984516
835.0,0.0012315270935960583
840.0,0.0012104152005629715
845.0,0.001182266009852218
850.0,0.0011541168191414478
855.0,0.0011259676284306839
860.0,0.0011259676284306839
865.0,0.001111893033075301
870.0,0.0010837438423645315
875.0,0.0010696692470091487
880.0,0.001048557353976045
885.0,0.0010344827586206903
890.0,0.0010063335679099214
895.0,0.0009781843771991573
900.0,0.000964109781843767
905.0,0.0009359605911330052
910.0,0.0009218859957776203
915.0,0.000900774102744465
920.0,0.0008937368050668528
925.0,0.0008655876143560888
930.0,0.0008585503166783948
935.0,0.0008374384236453186
940.0,0.0008233638282899307
945.0,0.0007952146375791728
950.0,0.0007741027445460966
955.0,0.0007600281491907043
960.0,0.0007318789584799444
965.0,0.0007178043631245468
970.0,0.0007037297677691561
975.0,0.0006896551724137716
980.0,0.000682617874736098
985.0,0.000661505981703022
990.0,0.0006403940886699521
995.0,0.0006263194933145232
1000.0,0.0005981703026038
1005.0,0.0005981703026038
1010.0,0.0005911330049261056
1015.0,0.0005559465165376479
1020.0,0.0005489092188599594
1025.0,0.0005277973258268837
1030.0,0.0005137227304715018
1035.0,0.0004926108374384257
1040.0,0.0004785362420830437
1045.0,0.00047149894440534846
1050.0,0.00045742434904996764
1055.0,0.0004363124560168915
1060.0,0.00041520056298381545
1065.0,0.00040112596762842715
1070.0,0.0004011259676284272
1075.0,0.0003870513722730452
1080.0,0.0003800140745953458
1085.0,0.00036593947923996913
1090.0,0.00035186488388458707
1095.0,0.0003377902885292051
1100.0,0.00031667839549612915
1105.0,0.0003096410978184129
1110.0,0.0002955665024630529
1115.0,0.0002814919071076709
1120.0,0.0002744546094299768
1125.0,0.00026741731175228896
1130.0,0.00023223082336383085
1135.0,0.00022519352568613673
1140.0,0.00022519352568613673
1145.0,0.00019704433497537278
1150.0,0.0001900070372976787
1155.0,0.00016889514426460256
1160.0,0.0001618578465869147
1165.0,0.0001477832512315343
1170.0,0.00013370865587614448
1175.0,0.00012667135819845036
1180.0,0.00012667135819845036
1185.0,0.00010555946516537446
1190.0,0.00010555946516537425
1195.0,9.148486980999228e-05
1200.0,0.00010555946516537426
1205.0,0.00010555946516537425
1210.0,9.852216748768651e-05
1215.0,8.444757213229816e-05
1220.0,7.741027445461253e-05
1225.0,7.741027445461028e-05
1230.0,5.6298381421534e-05
1235.0,3.5186488388458085e-05
1240.0,2.8149190710763968e-05
1245.0,2.11118930330761e-05
1250.0,2.1111893033076102e-05
1255.0,0.0
