Time (sec),Conc Ea (mol/L)
0.0,0.05
10.0,0.04869791666666667
20.0,0.04679904513888889
30.0,0.044791666666666674
40.0,0.04256727430555556
50.0,0.04034288194444445
60.0,0.03849826388888889
70.0,0.03659939236111112
80.0,0.03491753472222223
90.0,0.03339843750000001
100.0,0.03204210069444445
110.0,0.030740017361111118
120.0,0.029437934027777782
130.0,0.02759331597222224
140.0,0.026508246527777776
150.0,0.0255859375
160.0,0.024587673611111114
170.0,0.023670789930555554
180.0,0.022954644097222223
190.0,0.022205946180555557
200.0,0.02141384548611112
210.0,0.020773654513888885
220.0,0.020220269097222226
230.0,0.01954752604166667
240.0,0.01893446180555556
250.0,0.01839192708333334
260.0,0.017887369791666673
270.0,0.01758897569444433
280.0,0.017073567708333338
290.0,0.016596137152777777
300.0,0.016172960069444443
310.0,0.01582031249999904
320.0,0.015380859374999997
330.0,0.015039062499998932
340.0,0.014637586805555559
350.0,0.014333767361110531
360.0,0.014035373263888302
370.0,0.013742404513888305
380.0,0.013416883680555563
390.0,0.013129340277777084
400.0,0.012820095486111115
410.0,0.012668185763888885
420.0,0.01232638888888889
430.0,0.012109374999999874
440.0,0.01183268229166561
450.0,0.01164279513888883
460.0,0.011366102430555556
470.0,0.011203342013888866
480.0,0.011002604166666536
490.0,0.0107421875
500.0,0.010563151041666597
510.0,0.010367838541666502
520.0,0.010145399305555016
530.0,0.009950086805555335
540.0,0.009890407986111115
550.0,0.009684244791666258
560.0,0.009510633680555441
570.0,0.009353298611111048
580.0,0.009185112847222109
590.0,0.009076605902777776
600.0,0.00887044270833258
610.0,0.008691406249999721
620.0,0.008631727430555557
630.0,0.008501519097222198
640.0,0.008398437499999998
650.0,0.008235677083333146
660.0,0.00805664062499952
670.0,0.007991536458333339
680.0,0.007823350694444089
690.0,0.0076877170138888165
700.0,0.007573784722222202
710.0,0.007552083333333335
720.0,0.007438151041666643
730.0,0.007345920138888881
740.0,0.007204861111110958
750.0,0.007074652777777682
760.0,0.007014973958333334
770.0,0.006928168402777775
780.0,0.006781684027777457
790.0,0.006662326388888823
800.0,0.0066080729166666675
810.0,0.006504991319444419
820.0,0.006434461805555555
830.0,0.006391059027777784
840.0,0.0062988281249999846
850.0,0.006217447916666661
860.0,0.006168619791666671
870.0,0.0060818142361111
880.0,0.0059299045138888895
890.0,0.005913628472222223
900.0,0.005756293402777778
910.0,0.005712890625000006
920.0,0.005664062499999998
930.0,0.0055826822916666555
940.0,0.005528428819444441
950.0,0.005436197916666629
960.0,0.0054036458333333315
970.0,0.0053005642361110055
980.0,0.005268012152777779
990.0,0.00523003472222222
1000.0,0.005175781249999999
1010.0,0.005083550347222165
1020.0,0.005018446180555552
1030.0,0.004964192708333334
1040.0,0.004964192708333335
1050.0,0.004823133680555553
1060.0,0.004817708333333346
1070.0,0.004703776041666667
1080.0,0.004682074652777781
1090.0,0.004633246527777774
1100.0,0.004562717013888875
1110.0,0.004530164930555556
1120.0,0.00441080729166667
1130.0,0.004437934027777781
1140.0,0.004367404513888867
1150.0,0.00431857638888889
1160.0,0.004248046874999978
1170.0,0.004204644097222219
1180.0,0.004139539930555545
1190.0,0.00414496527777776
1200.0,0.004063585069444338
1210.0,0.00401475694444444
1220.0,0.003998480902777778
1230.0,0.003965928819444444
1240.0,0.003976779513888892
1250.0,0.003944227430555557
1260.0,0.0038899739583333312
1270.0,0.003884548611111133
1280.0,0.003851996527777778
1290.0,0.0038031684027777734
1300.0,0.003727213541666557
1310.0,0.003700086805555558
1320.0,0.003629557291666591
1330.0,0.003493923611111108
1340.0,0.0034884982638889246
1350.0,0.0034450954861111084
1360.0,0.003363715277777779
1370.0,0.0033528645833333357
1380.0,0.0033528645833333353
1390.0,0.0033094618055555503
1400.0,0.003244357638888808
1410.0,0.003238932291666712
1420.0,0.0031792534722221754
1430.0,0.003168402777777776
1440.0,0.003097873263888664
1450.0,0.003124999999999998
1460.0,0.0030544704861108682
1470.0,0.003005642361111094
1480.0,0.0029730902777777776
1490.0,0.002945963541666668
1500.0,0.0029351128472222244
1510.0,0.0028700086805553537
1520.0,0.0028537326388888883
1530.0,0.002826605902777777
1540.0,0.0027940538194444415
1550.0,0.0027343749999998576
1560.0,0.002701822916666667
1570.0,0.002701822916666668
1580.0,0.002685546875000001
1590.0,0.002685546875000001
1600.0,0.002615017361111113
1610.0,0.0025607638888887874
1620.0,0.0025499131944444436
1630.0,0.0025390625000000005
1640.0,0.0025444878472222193
1650.0,0.002484809027777779
1660.0,0.0024631076388888875
1670.0,0.00244683159722222
1680.0,0.0024088541666666525
1690.0,0.002414279513888886
1700.0,0.0023600260416664813
1710.0,0.002343750000000002
1720.0,0.0023166232638888915
1730.0,0.002294921875
1740.0,0.0022623697916666617
1750.0,0.0022189670138888407
1760.0,0.002251519097222219
1770.0,0.0021809895833333343
1780.0,0.002143012152777755
1790.0,0.002164713541666662
1800.0,0.0021267361111110914
1810.0,0.002110460069444441
1820.0,0.002099609375000003
1830.0,0.0020453559027777775
1840.0,0.002077907986111104
1850.0,0.0020887586805555546
1860.0,0.002056206597222212
1870.0,0.002050781250000001
1880.0,0.002023654513888888
1890.0,0.0019911024305555454
1900.0,0.0019911024305555554
1910.0,0.0019476996527776548
1920.0,0.001936848958333335
1930.0,0.0019151475694444474
1940.0,0.0018988715277777762
1950.0,0.0018825954861111135
1960.0,0.001855468749999999
1970.0,0.0018500434027777786
1980.0,0.0018337673611111115
1990.0,0.0018229166666666686
2000.0,0.0018012152777777764
2010.0,0.0017740885416666614
2020.0,0.001736111111111017
2030.0,0.0017415364583333321
2040.0,0.001730685763888884
2050.0,0.0017089843749999965
2060.0,0.001676432291666629
2070.0,0.001687282986111111
2080.0,0.0016547309027777394
2090.0,0.001627604166666656
2100.0,0.001622178819444442
2110.0,0.0016004774305555533
2120.0,0.0015679253472221666
2130.0,0.0016004774305555085
2140.0,0.0015407986111111106
2150.0,0.0015570746527777775
2160.0,0.001519097222222219
2170.0,0.0014973958333333295
2180.0,0.0015028211805555563
2190.0,0.0014973958333333324
2200.0,0.001426866319444449
2210.0,0.0014594184027776848
2220.0,0.001443142361111111
2230.0,0.0013671874999999993
2240.0,0.0013997395833332139
2250.0,0.0013726128472221913
2260.0,0.001372612847222223
2270.0,0.0013617621527777794
2280.0,0.0013454861111111118
2290.0,0.0013183593749999593
2300.0,0.0013129340277777779
2310.0,0.0013183593750000018
2320.0,0.001258680555555557
2330.0,0.0012641059027777809
2340.0,0.0012641059027777809
2350.0,0.0012315538194444464
2360.0,0.0011990017361111116
2370.0,0.0012315538194444464
2380.0,0.0011773003472222252
2390.0,0.0011773003472222252
2400.0,0.001144748263888891
2410.0,0.0011338975694444424
2420.0,0.0011610243055554502
2430.0,0.0011610243055555532
2440.0,0.0011447482638888887
2450.0,0.0011447482638888907
2460.0,0.0010904947916666647
2470.0,0.0011013454861111128
2480.0,0.0010687934027777785
2490.0,0.0010904947916666379
2500.0,0.0010633680555555544
2510.0,0.0010850694444444128
2520.0,0.0010253906249999955
2530.0,0.0010308159722222199
2540.0,0.0010036892361111093
2550.0,0.0009819878472221667
2560.0,0.0009657118055555539
2570.0,0.000981987847222217
2580.0,0.0009602864583332709
2590.0,0.0009494357638888876
2600.0,0.0009440104166666642
2610.0,0.0009331597222222252
2620.0,0.0009277343750000017
2630.0,0.0009060329861111102
2640.0,0.0009006076388888909
2650.0,0.0008626302083333324
2660.0,0.0008680555555555565
2670.0,0.000851779513888874
2680.0,0.0008680555555555431
2690.0,0.0008572048611111124
2700.0,0.0008517795138888892
2710.0,0.000889756944444443
2720.0,0.0008029513888888922
2730.0,0.0008083767361111065
2740.0,0.0008192274305555537
2750.0,0.00078667534722222
2760.0,0.000781249999999996
2770.0,0.0007541232638888853
2780.0,0.000770399305555527
