Time (sec),Conc Ea (mol/L)
0.0,0.05
10.0,0.04303466317854807
20.0,0.03500654022236886
30.0,0.030035971223021582
40.0,0.025940156965336823
50.0,0.022792674950948336
60.0,0.020143884892086336
70.0,0.018026487900588622
80.0,0.016317854807063447
90.0,0.014748201438848923
100.0,0.013481033355134679
110.0,0.012311968606933267
120.0,0.011404512753433673
130.0,0.010505232177894189
140.0,0.009597776324395497
150.0,0.009017331589274038
160.0,0.008355134074558578
170.0,0.007807390451275353
180.0,0.007308698495748863
190.0,0.006859058207979079
200.0,0.006409417920209292
210.0,0.005951602354480071
220.0,0.0056491170699803795
230.0,0.005264879005886211
240.0,0.004946043165467632
250.0,0.004643557880967952
260.0,0.00442282537606279
270.0,0.004087638979725343
280.0,0.0038750817527795967
290.0,0.0036870503597122278
300.0,0.0034336167429692677
