Conductivity (mS/cm),Time (sec)
5.009 ,1535.00
5.006 ,1540.00
5.004 ,1545.00
5.002 ,1550.00
5.000 ,1555.00
4.998 ,1560.00
4.996 ,1565.00
4.993 ,1570.00
4.992 ,1575.00
4.989 ,1580.00
4.988 ,1585.00
4.986 ,1590.00
4.985 ,1595.00
4.982 ,1600.00
4.980 ,1605.00
4.978 ,1610.00
4.976 ,1615.00
4.973 ,1620.00
4.972 ,1625.00
4.971 ,1630.00
4.968 ,1635.00
4.967 ,1640.00
4.965 ,1645.00
4.963 ,1650.00
4.960 ,1655.00
4.959 ,1660.00
4.957 ,1665.00
4.955 ,1670.00
4.953 ,1675.00
4.951 ,1680.00
4.949 ,1685.00
4.947 ,1690.00
4.946 ,1695.00
4.945 ,1700.00
4.943 ,1705.00
4.941 ,1710.00
4.927 ,1715.00
4.844 ,1720.00
