Conductivity (mS/cm),Time (sec)
11.86 ,0.00
11.20 ,10.00
10.74 ,20.00
10.14 ,30.00
9.722 ,40.00
9.473 ,50.00
9.160 ,60.00
8.901 ,70.00
8.675 ,80.00
8.499 ,90.00
8.360 ,100.00
8.145 ,110.00
7.968 ,120.00
7.857 ,130.00
7.739 ,140.00
7.624 ,150.00
7.453 ,160.00
7.371 ,170.00
7.324 ,180.00
7.271 ,190.00
7.150 ,200.00
7.063 ,210.00
7.007 ,220.00
6.897 ,230.00
6.881 ,240.00
6.835 ,250.00
6.753 ,260.00
6.683 ,270.00
6.640 ,280.00
6.645 ,290.00
6.559 ,300.00
6.540 ,310.00
6.487 ,320.00
6.446 ,330.00
6.394 ,340.00
6.397 ,350.00
6.354 ,360.00
6.324 ,370.00
6.317 ,380.00
6.284 ,390.00
6.214 ,400.00
6.213 ,410.00
6.142 ,420.00
6.122 ,430.00
6.134 ,440.00
6.085 ,450.00
6.044 ,460.00
6.050 ,470.00
6.069 ,480.00
6.014 ,490.00
6.000 ,500.00
5.981 ,510.00
5.921 ,520.00
5.954 ,530.00
5.910 ,540.00
5.882 ,550.00
5.901 ,560.00
5.836 ,570.00
5.846 ,580.00
5.772 ,590.00
5.811 ,600.00
5.803 ,610.00
5.783 ,620.00
5.746 ,630.00
5.764 ,640.00
5.753 ,650.00
5.738 ,660.00
5.728 ,670.00
5.719 ,680.00
5.698 ,690.00
5.676 ,700.00
5.686 ,710.00
5.647 ,720.00
5.633 ,730.00
5.653 ,740.00
5.632 ,750.00
5.609 ,760.00
5.597 ,770.00
5.608 ,780.00
5.592 ,790.00
5.571 ,800.00
5.574 ,810.00
5.616 ,820.00
5.545 ,830.00
5.555 ,840.00
5.538 ,850.00
5.571 ,860.00
5.535 ,870.00
5.532 ,880.00
5.517 ,890.00
5.519 ,900.00
5.492 ,910.00
5.486 ,920.00
5.475 ,930.00
5.482 ,940.00
5.480 ,950.00
5.437 ,960.00
5.413 ,970.00
5.444 ,980.00
5.461 ,990.00
5.446 ,1000.00
5.435 ,1010.00
5.419 ,1020.00
5.431 ,1030.00
5.442 ,1040.00
5.445 ,1050.00
5.420 ,1060.00
5.423 ,1070.00
5.423 ,1080.00
5.403 ,1090.00
5.390 ,1100.00
5.381 ,1110.00
5.394 ,1120.00
5.383 ,1130.00
5.374 ,1140.00
