Conductivity (mS/cm),Time (sec)
5.388 ,1150.00
5.359 ,1160.00
5.369 ,1170.00
5.344 ,1180.00
5.355 ,1190.00
5.354 ,1200.00
5.357 ,1210.00
5.324 ,1220.00
5.342 ,1230.00
5.356 ,1240.00
5.345 ,1250.00
5.349 ,1260.00
5.332 ,1270.00
5.300 ,1280.00
5.323 ,1290.00
5.290 ,1300.00
5.325 ,1310.00
5.342 ,1320.00
5.319 ,1330.00
5.342 ,1340.00
5.324 ,1350.00
5.309 ,1360.00
5.296 ,1370.00
5.300 ,1380.00
5.293 ,1390.00
5.295 ,1400.00
5.284 ,1410.00
5.261 ,1420.00
5.304 ,1430.00
5.293 ,1440.00
5.299 ,1450.00
5.252 ,1460.00
5.256 ,1470.00
5.282 ,1480.00
5.237 ,1490.00
5.238 ,1500.00
5.247 ,1510.00
5.254 ,1520.00
5.252 ,1530.00
5.259 ,1540.00
5.230 ,1550.00
5.252 ,1560.00
5.249 ,1570.00
5.184 ,1580.00
5.233 ,1590.00
5.216 ,1600.00
5.217 ,1610.00
5.240 ,1620.00
5.230 ,1630.00
5.219 ,1640.00
5.238 ,1650.00
5.207 ,1660.00
5.237 ,1670.00
5.211 ,1680.00
5.225 ,1690.00
5.213 ,1700.00
5.199 ,1710.00
5.239 ,1720.00
5.211 ,1730.00
5.204 ,1740.00
5.201 ,1750.00
5.204 ,1760.00
5.210 ,1770.00
5.203 ,1780.00
5.213 ,1790.00
5.203 ,1800.00
5.193 ,1810.00
5.201 ,1820.00
5.166 ,1830.00
5.203 ,1840.00
5.181 ,1850.00
5.188 ,1860.00
5.157 ,1870.00
5.183 ,1880.00
5.175 ,1890.00
5.178 ,1900.00
5.182 ,1910.00
5.206 ,1920.00
5.158 ,1930.00
5.188 ,1940.00
5.158 ,1950.00
5.174 ,1960.00
5.192 ,1970.00
5.156 ,1980.00
5.135 ,1990.00
5.197 ,2000.00
5.163 ,2010.00
5.150 ,2020.00
5.163 ,2030.00
5.166 ,2040.00
5.167 ,2050.00
5.146 ,2060.00
5.166 ,2070.00
5.171 ,2080.00
5.167 ,2090.00
5.181 ,2100.00
5.136 ,2110.00
5.149 ,2120.00
5.164 ,2130.00
5.160 ,2140.00
5.179 ,2150.00
5.129 ,2160.00
5.147 ,2170.00
5.132 ,2180.00
5.155 ,2190.00
5.133 ,2200.00
5.129 ,2210.00
5.088 ,2220.00
5.095 ,2230.00
5.120 ,2240.00
5.091 ,2250.00
5.149 ,2260.00
5.126 ,2270.00
5.142 ,2280.00
5.137 ,2290.00
5.119 ,2300.00
5.086 ,2310.00
5.141 ,2320.00
5.106 ,2330.00
5.138 ,2340.00
5.129 ,2350.00
5.124 ,2360.00
5.119 ,2370.00
5.100 ,2380.00
5.107 ,2390.00
5.118 ,2400.00
5.116 ,2410.00
5.099 ,2420.00
5.091 ,2430.00
5.107 ,2440.00
5.105 ,2450.00
5.095 ,2460.00
5.131 ,2470.00
5.126 ,2480.00
5.117 ,2490.00
5.086 ,2500.00
5.143 ,2510.00
5.122 ,2520.00
5.108 ,2530.00
5.094 ,2540.00
5.104 ,2550.00
5.092 ,2560.00
5.079 ,2570.00
5.108 ,2580.00
5.084 ,2590.00
5.120 ,2600.00
5.082 ,2610.00
5.100 ,2620.00
5.096 ,2630.00
5.089 ,2640.00
5.091 ,2650.00
5.075 ,2660.00
5.076 ,2670.00
5.126 ,2680.00
5.091 ,2690.00
5.092 ,2700.00
5.079 ,2710.00
5.099 ,2720.00
5.087 ,2730.00
5.080 ,2740.00
5.061 ,2750.00
5.035 ,2760.00
5.065 ,2770.00
5.081 ,2780.00
5.084 ,2790.00
5.094 ,2800.00
5.095 ,2810.00
5.070 ,2820.00
5.084 ,2830.00
5.062 ,2840.00
5.089 ,2850.00
5.083 ,2860.00
5.094 ,2870.00
5.087 ,2880.00
5.116 ,2890.00
5.078 ,2900.00
5.081 ,2910.00
5.077 ,2920.00
5.066 ,2930.00
5.044 ,2940.00
5.089 ,2950.00
5.075 ,2960.00
5.093 ,2970.00
5.078 ,2980.00
5.078 ,2990.00
5.081 ,3000.00
5.042 ,3010.00
5.052 ,3020.00
5.043 ,3030.00
5.045 ,3040.00
5.066 ,3050.00
5.095 ,3060.00
5.061 ,3070.00
5.074 ,3080.00
5.058 ,3090.00
5.075 ,3100.00
5.055 ,3110.00
5.072 ,3120.00
5.048 ,3130.00
5.076 ,3140.00
5.060 ,3150.00
5.096 ,3160.00
5.073 ,3170.00
5.055 ,3180.00
5.028 ,3190.00
