Conductivity (mS/cm),Time (sec)
11.42 ,0.00
11.40 ,5.00
11.38 ,10.00
11.38 ,15.00
11.32 ,20.00
11.19 ,25.00
11.06 ,30.00
10.91 ,35.00
10.73 ,40.00
10.57 ,45.00
10.41 ,50.00
10.26 ,55.00
10.11 ,60.00
10.00 ,65.00
9.842 ,70.00
9.714 ,75.00
9.587 ,80.00
9.467 ,85.00
9.352 ,90.00
9.242 ,95.00
9.137 ,100.00
9.035 ,105.00
8.937 ,110.00
8.863 ,115.00
8.771 ,120.00
8.683 ,125.00
8.597 ,130.00
8.513 ,135.00
8.415 ,140.00
8.338 ,145.00
8.263 ,150.00
8.193 ,155.00
8.124 ,160.00
8.055 ,165.00
7.999 ,170.00
7.936 ,175.00
7.874 ,180.00
7.814 ,185.00
7.754 ,190.00
7.698 ,195.00
7.644 ,200.00
7.590 ,205.00
7.539 ,210.00
7.490 ,215.00
7.445 ,220.00
7.397 ,225.00
7.349 ,230.00
7.306 ,235.00
7.262 ,240.00
7.219 ,245.00
7.178 ,250.00
7.137 ,255.00
7.078 ,260.00
7.039 ,265.00
7.001 ,270.00
6.972 ,275.00
6.935 ,280.00
6.900 ,285.00
6.865 ,290.00
6.833 ,295.00
6.800 ,300.00
6.765 ,305.00
6.736 ,310.00
6.708 ,315.00
6.677 ,320.00
6.655 ,325.00
6.627 ,330.00
6.599 ,335.00
6.572 ,340.00
6.543 ,345.00
6.518 ,350.00
6.493 ,355.00
6.468 ,360.00
6.443 ,365.00
6.416 ,370.00
6.394 ,375.00
6.373 ,380.00
6.351 ,385.00
6.325 ,390.00
6.307 ,395.00
6.284 ,400.00
6.263 ,405.00
6.242 ,410.00
6.222 ,415.00
6.202 ,420.00
6.183 ,425.00
6.167 ,430.00
6.148 ,435.00
6.129 ,440.00
6.111 ,445.00
6.091 ,450.00
6.074 ,455.00
6.057 ,460.00
6.039 ,465.00
6.022 ,470.00
6.006 ,475.00
5.988 ,480.00
5.973 ,485.00
5.958 ,490.00
5.942 ,495.00
5.928 ,500.00
5.903 ,505.00
5.895 ,510.00
5.880 ,515.00
5.866 ,520.00
5.853 ,525.00
5.836 ,530.00
5.822 ,535.00
5.811 ,540.00
5.797 ,545.00
5.780 ,550.00
5.768 ,555.00
5.756 ,560.00
5.744 ,565.00
5.730 ,570.00
5.719 ,575.00
5.708 ,580.00
5.696 ,585.00
5.686 ,590.00
5.673 ,595.00
5.662 ,600.00
5.651 ,605.00
5.640 ,610.00
5.628 ,615.00
5.616 ,620.00
5.605 ,625.00
5.596 ,630.00
5.586 ,635.00
5.576 ,640.00
5.580 ,645.00
5.558 ,650.00
5.547 ,655.00
5.549 ,660.00
5.539 ,665.00
5.529 ,670.00
5.520 ,675.00
5.511 ,680.00
5.500 ,685.00
5.493 ,690.00
5.483 ,695.00
5.476 ,700.00
5.466 ,705.00
5.458 ,710.00
5.449 ,715.00
5.440 ,720.00
5.432 ,725.00
5.424 ,730.00
5.416 ,735.00
5.406 ,740.00
5.397 ,745.00
5.390 ,750.00
5.383 ,755.00
5.375 ,760.00
5.366 ,765.00
5.360 ,770.00
5.352 ,775.00
5.345 ,780.00
5.338 ,785.00
5.330 ,790.00
5.323 ,795.00
5.317 ,800.00
5.312 ,805.00
5.304 ,810.00
5.296 ,815.00
5.287 ,820.00
5.281 ,825.00
5.275 ,830.00
5.269 ,835.00
5.261 ,840.00
5.255 ,845.00
5.248 ,850.00
5.242 ,855.00
5.235 ,860.00
5.229 ,865.00
5.224 ,870.00
5.218 ,875.00
5.212 ,880.00
5.205 ,885.00
5.199 ,890.00
5.194 ,895.00
5.187 ,900.00
5.182 ,905.00
5.177 ,910.00
5.171 ,915.00
5.166 ,920.00
5.160 ,925.00
5.155 ,930.00
5.149 ,935.00
5.144 ,940.00
5.138 ,945.00
5.134 ,950.00
5.127 ,955.00
5.123 ,960.00
5.117 ,965.00
5.113 ,970.00
5.106 ,975.00
5.101 ,980.00
5.097 ,985.00
5.092 ,990.00
5.087 ,995.00
5.083 ,1000.00
5.079 ,1005.00
5.073 ,1010.00
5.069 ,1015.00
5.064 ,1020.00
5.060 ,1025.00
5.056 ,1030.00
5.050 ,1035.00
5.046 ,1040.00
5.041 ,1045.00
5.037 ,1050.00
5.032 ,1055.00
5.027 ,1060.00
5.024 ,1065.00
5.020 ,1070.00
5.015 ,1075.00
5.011 ,1080.00
5.007 ,1085.00
5.003 ,1090.00
4.998 ,1095.00
4.995 ,1100.00
4.990 ,1105.00
4.986 ,1110.00
4.982 ,1115.00
4.978 ,1120.00
4.975 ,1125.00
4.970 ,1130.00
4.967 ,1135.00
4.962 ,1140.00
4.959 ,1145.00
4.955 ,1150.00
4.952 ,1155.00
4.947 ,1160.00
4.943 ,1165.00
4.940 ,1170.00
4.936 ,1175.00
4.933 ,1180.00
4.929 ,1185.00
4.925 ,1190.00
4.922 ,1195.00
4.919 ,1200.00
4.915 ,1205.00
4.912 ,1210.00
4.908 ,1215.00
4.904 ,1220.00
4.902 ,1225.00
4.898 ,1230.00
4.895 ,1235.00
4.892 ,1240.00
4.888 ,1245.00
4.885 ,1250.00
4.882 ,1255.00
4.878 ,1260.00
4.875 ,1265.00
4.873 ,1270.00
4.870 ,1275.00
4.866 ,1280.00
4.863 ,1285.00
4.860 ,1290.00
4.857 ,1295.00
4.854 ,1300.00
4.850 ,1305.00
4.848 ,1310.00
4.845 ,1315.00
4.841 ,1320.00
4.839 ,1325.00
4.837 ,1330.00
4.833 ,1335.00
4.831 ,1340.00
4.828 ,1345.00
4.825 ,1350.00
4.821 ,1355.00
4.819 ,1360.00
4.816 ,1365.00
4.813 ,1370.00
4.811 ,1375.00
4.808 ,1380.00
4.806 ,1385.00
4.802 ,1390.00
4.801 ,1395.00
4.797 ,1400.00
4.795 ,1405.00
4.793 ,1410.00
4.789 ,1415.00
4.787 ,1420.00
4.784 ,1425.00
4.782 ,1430.00
4.780 ,1435.00
4.777 ,1440.00
4.775 ,1445.00
4.771 ,1450.00
4.770 ,1455.00
4.767 ,1460.00
4.765 ,1465.00
4.763 ,1470.00
4.760 ,1475.00
4.757 ,1480.00
4.755 ,1485.00
4.752 ,1490.00
4.750 ,1495.00
4.748 ,1500.00
4.746 ,1505.00
4.744 ,1510.00
4.741 ,1515.00
4.739 ,1520.00
4.737 ,1525.00
4.734 ,1530.00
4.732 ,1535.00
4.729 ,1540.00
4.727 ,1545.00
4.725 ,1550.00
4.724 ,1555.00
4.721 ,1560.00
4.718 ,1565.00
4.717 ,1570.00
4.714 ,1575.00
4.713 ,1580.00
4.710 ,1585.00
