Conductivity (mS/cm),Time (sec)
11.69 ,0.00
17.54 ,10.00
11.22 ,20.00
10.81 ,30.00
10.49 ,40.00
10.15 ,50.00
9.826 ,60.00
9.553 ,70.00
9.308 ,80.00
9.104 ,90.00
8.899 ,100.00
8.711 ,110.00
8.538 ,120.00
8.396 ,130.00
8.261 ,140.00
8.122 ,150.00
7.995 ,160.00
7.874 ,170.00
7.763 ,180.00
7.685 ,190.00
7.586 ,200.00
7.492 ,210.00
7.407 ,220.00
7.321 ,230.00
7.248 ,240.00
7.190 ,250.00
7.122 ,260.00
7.053 ,270.00
6.989 ,280.00
6.935 ,290.00
6.880 ,300.00
6.841 ,310.00
6.792 ,320.00
6.747 ,330.00
6.700 ,340.00
6.654 ,350.00
6.608 ,360.00
6.570 ,370.00
6.548 ,380.00
6.507 ,390.00
6.471 ,400.00
6.434 ,410.00
6.400 ,420.00
6.373 ,430.00
6.342 ,440.00
6.309 ,450.00
6.279 ,460.00
6.252 ,470.00
6.226 ,480.00
6.200 ,490.00
6.187 ,500.00
6.164 ,510.00
6.139 ,520.00
6.115 ,530.00
6.094 ,540.00
6.071 ,550.00
6.049 ,560.00
6.029 ,570.00
6.011 ,580.00
5.991 ,590.00
5.956 ,600.00
5.937 ,610.00
5.922 ,620.00
5.906 ,630.00
5.888 ,640.00
5.871 ,650.00
5.856 ,660.00
5.840 ,670.00
5.827 ,680.00
5.825 ,690.00
5.809 ,700.00
5.794 ,710.00
5.782 ,720.00
5.770 ,730.00
5.757 ,740.00
5.745 ,750.00
5.732 ,760.00
5.722 ,770.00
5.709 ,780.00
5.698 ,790.00
5.686 ,800.00
5.675 ,810.00
5.665 ,820.00
5.656 ,830.00
5.645 ,840.00
5.635 ,850.00
5.626 ,860.00
5.615 ,870.00
5.606 ,880.00
5.596 ,890.00
5.589 ,900.00
5.581 ,910.00
5.572 ,920.00
5.563 ,930.00
5.556 ,940.00
5.548 ,950.00
5.539 ,960.00
5.531 ,970.00
5.523 ,980.00
5.517 ,990.00
5.509 ,1000.00
5.503 ,1010.00
5.496 ,1020.00
5.489 ,1030.00
5.482 ,1040.00
5.476 ,1050.00
5.469 ,1060.00
5.463 ,1070.00
5.457 ,1080.00
5.450 ,1090.00
5.444 ,1100.00
5.438 ,1110.00
5.432 ,1120.00
5.427 ,1130.00
5.422 ,1140.00
5.416 ,1150.00
5.410 ,1160.00
5.405 ,1170.00
5.400 ,1180.00
5.394 ,1190.00
5.389 ,1200
5.384 ,1210
5.379 ,1220
5.376 ,1230
5.370 ,1240
