Conductivity (mS/cm),Time (sec)
5.571 ,635.00
5.561 ,640.00
5.552 ,645.00
5.543 ,650.00
5.536 ,655.00
5.526 ,660.00
5.518 ,665.00
5.508 ,670.00
5.501 ,675.00
5.491 ,680.00
5.484 ,685.00
5.474 ,690.00
5.466 ,695.00
5.457 ,700.00
5.450 ,705.00
5.441 ,710.00
5.434 ,715.00
5.427 ,720.00
5.418 ,725.00
5.410 ,730.00
5.402 ,735.00
5.395 ,740.00
5.387 ,745.00
5.380 ,750.00
5.373 ,755.00
5.366 ,760.00
5.359 ,765.00
5.353 ,770.00
5.345 ,775.00
5.339 ,780.00
5.332 ,785.00
5.325 ,790.00
5.318 ,795.00
5.312 ,800.00
5.304 ,805.00
5.299 ,810.00
5.292 ,815.00
5.286 ,820.00
5.279 ,825.00
5.272 ,830.00
5.266 ,835.00
5.260 ,840.00
5.254 ,845.00
5.248 ,850.00
5.242 ,855.00
5.236 ,860.00
5.232 ,865.00
5.225 ,870.00
5.219 ,875.00
5.214 ,880.00
5.208 ,885.00
5.203 ,890.00
5.197 ,895.00
5.191 ,900.00
5.187 ,905.00
5.181 ,910.00
5.175 ,915.00
5.171 ,920.00
5.165 ,925.00
5.160 ,930.00
5.155 ,935.00
5.150 ,940.00
5.144 ,945.00
5.140 ,950.00
5.135 ,955.00
5.130 ,960.00
5.127 ,965.00
5.121 ,970.00
5.116 ,975.00
5.111 ,980.00
5.107 ,985.00
5.102 ,990.00
5.097 ,995.00
5.092 ,1000.00
5.088 ,1005.00
5.083 ,1010.00
5.079 ,1015.00
5.074 ,1020.00
5.070 ,1025.00
5.065 ,1030.00
5.061 ,1035.00
5.058 ,1040.00
5.053 ,1045.00
5.049 ,1050.00
5.044 ,1055.00
5.040 ,1060.00
5.035 ,1065.00
5.031 ,1070.00
5.030 ,1075.00
5.024 ,1080.00
5.020 ,1085.00
5.015 ,1090.00
5.013 ,1095.00
5.008 ,1100.00
5.004 ,1105.00
5.000 ,1110.00
4.996 ,1115.00
4.993 ,1120.00
4.989 ,1125.00
4.984 ,1130.00
4.982 ,1135.00
4.977 ,1140.00
4.974 ,1145.00
4.970 ,1150.00
4.966 ,1155.00
4.963 ,1160.00
4.959 ,1165.00
4.956 ,1170.00
4.953 ,1175.00
4.949 ,1180.00
4.945 ,1185.00
4.942 ,1190.00
4.939 ,1195.00
4.935 ,1200.00
4.932 ,1205.00
4.928 ,1210.00
4.925 ,1215.00
4.922 ,1220.00
4.919 ,1225.00
4.917 ,1230.00
4.913 ,1235.00
4.910 ,1240.00
4.907 ,1245.00
4.903 ,1250.00
4.900 ,1255.00
4.897 ,1260.00
4.894 ,1265.00
4.891 ,1270.00
4.889 ,1275.00
4.886 ,1280.00
4.882 ,1285.00
4.879 ,1290.00
4.876 ,1295.00
4.873 ,1300.00
4.870 ,1305.00
4.868 ,1310.00
4.864 ,1315.00
4.862 ,1320.00
4.859 ,1325.00
4.857 ,1330.00
4.854 ,1335.00
4.851 ,1340.00
4.848 ,1345.00
4.845 ,1350.00
4.842 ,1355.00
4.839 ,1360.00
4.838 ,1365.00
4.834 ,1370.00
4.831 ,1375.00
4.829 ,1380.00
4.827 ,1385.00
4.825 ,1390.00
4.822 ,1395.00
4.819 ,1400.00
4.816 ,1405.00
4.814 ,1410.00
4.812 ,1415.00
4.808 ,1420.00
4.806 ,1425.00
4.805 ,1430.00
4.802 ,1435.00
4.800 ,1440.00
4.797 ,1445.00
4.794 ,1450.00
4.791 ,1455.00
4.790 ,1460.00
4.787 ,1465.00
4.784 ,1470.00
4.782 ,1475.00
4.780 ,1480.00
4.777 ,1485.00
4.775 ,1490.00
4.773 ,1495.00
4.771 ,1500.00
4.769 ,1505.00
4.766 ,1510.00
4.765 ,1515.00
4.762 ,1520.00
4.760 ,1525.00
4.757 ,1530.00
4.756 ,1535.00
4.753 ,1540.00
4.752 ,1545.00
4.749 ,1550.00
4.747 ,1555.00
4.744 ,1560.00
4.743 ,1565.00
4.741 ,1570.00
4.739 ,1575.00
4.737 ,1580.00
4.735 ,1585.00
4.732 ,1590.00
4.731 ,1595.00
4.730 ,1600.00
4.727 ,1605.00
4.725 ,1610.00
4.722 ,1615.00
4.721 ,1620.00
4.718 ,1625.00
4.716 ,1630.00
4.714 ,1635.00
4.713 ,1640.00
4.710 ,1645.00
4.709 ,1650.00
4.708 ,1655.00
4.705 ,1660.00
4.704 ,1665.00
4.701 ,1670.00
4.700 ,1675.00
4.698 ,1680.00
4.696 ,1685.00
4.694 ,1690.00
4.693 ,1695.00
4.691 ,1700.00
4.689 ,1705.00
4.687 ,1710.00
4.686 ,1715.00
4.684 ,1720.00
4.682 ,1725.00
4.680 ,1730.00
4.678 ,1735.00
4.676 ,1740.00
4.674 ,1745.00
4.674 ,1750.00
4.671 ,1755.00
4.670 ,1760.00
4.668 ,1765.00
4.665 ,1770.00
4.664 ,1775.00
4.663 ,1780.00
4.661 ,1785.00
4.660 ,1790.00
4.659 ,1795.00
4.656 ,1800.00
4.655 ,1805.00
4.653 ,1810.00
4.652 ,1815.00
4.650 ,1820.00
4.648 ,1825.00
4.647 ,1830.00
4.644 ,1835.00
4.643 ,1840.00
4.642 ,1845.00
4.641 ,1850.00
4.639 ,1855.00
4.637 ,1860.00
4.636 ,1865.00
4.635 ,1870.00
4.633 ,1875.00
4.631 ,1880.00
4.629 ,1885.00
4.629 ,1890.00
4.627 ,1895.00
4.626 ,1900.00
4.624 ,1905.00
4.622 ,1910.00
4.621 ,1915.00
4.620 ,1920.00
4.618 ,1925.00
4.616 ,1930.00
4.615 ,1935.00
4.615 ,1940.00
4.612 ,1945.00
4.611 ,1950.00
4.609 ,1955.00
4.608 ,1960.00
4.607 ,1965.00
4.606 ,1970.00
4.604 ,1975.00
4.602 ,1980.00
4.601 ,1985.00
4.600 ,1990.00
4.599 ,1995.00
4.598 ,2000.00
4.596 ,2005.00
4.594 ,2010.00
4.594 ,2015.00
4.592 ,2020.00
4.591 ,2025.00
4.589 ,2030.00
4.588 ,2035.00
4.586 ,2040.00
4.585 ,2045.00
4.584 ,2050.00
4.583 ,2055.00
4.582 ,2060.00
4.580 ,2065.00
4.579 ,2070.00
4.578 ,2075.00
4.577 ,2080.00
4.574 ,2085.00
4.574 ,2090.00
4.573 ,2095.00
4.571 ,2100.00
4.570 ,2105.00
4.569 ,2110.00
4.568 ,2115.00
4.566 ,2120.00
4.566 ,2125.00
4.564 ,2130.00
4.562 ,2135.00
4.561 ,2140.00
4.560 ,2145.00
4.559 ,2150.00
4.559 ,2155.00
4.556 ,2160.00
4.556 ,2165.00
4.555 ,2170.00
4.554 ,2175.00
4.552 ,2180.00
4.551 ,2185.00
4.550 ,2190.00
4.549 ,2195.00
4.548 ,2200.00
4.546 ,2205.00
4.545 ,2210.00
4.545 ,2215.00
4.544 ,2220.00
4.542 ,2225.00
4.541 ,2230.00
4.541 ,2235.00
4.539 ,2240.00
4.538 ,2245.00
4.537 ,2250.00
4.536 ,2255.00
4.534 ,2260.00
4.534 ,2265.00
4.533 ,2270.00
4.531 ,2275.00
4.531 ,2280.00
4.529 ,2285.00
4.529 ,2290.00
4.527 ,2295.00
4.527 ,2300.00
4.525 ,2305.00
4.524 ,2310.00
4.524 ,2315.00
4.522 ,2320.00
4.522 ,2325.00
4.520 ,2330.00
4.519 ,2335.00
4.518 ,2340.00
4.517 ,2345.00
4.516 ,2350.00
4.515 ,2355.00
4.515 ,2360.00
4.513 ,2365.00
4.512 ,2370.00
4.511 ,2375.00
4.510 ,2380.00
4.509 ,2385.00
4.508 ,2390.00
4.507 ,2395.00
4.506 ,2400.00
4.506 ,2405.00
4.505 ,2410.00
4.504 ,2415.00
4.503 ,2420.00
4.502 ,2425.00
4.501 ,2430.00
4.500 ,2435.00
4.499 ,2440.00
4.498 ,2445.00
4.497 ,2450.00
4.496 ,2455.00
4.495 ,2460.00
4.494 ,2465.00
4.493 ,2470.00
4.492 ,2475.00
4.491 ,2480.00
4.491 ,2485.00
4.490 ,2490.00
4.490 ,2495.00
4.489 ,2500.00
4.487 ,2505.00
4.487 ,2510.00
4.486 ,2515.00
4.484 ,2520.00
4.483 ,2525.00
4.483 ,2530.00
4.482 ,2535.00
4.480 ,2540.00
4.480 ,2545.00
4.479 ,2550.00
4.478 ,2555.00
4.477 ,2560.00
4.477 ,2565.00
4.476 ,2570.00
4.475 ,2575.00
4.473 ,2580.00
4.473 ,2585.00
4.472 ,2590.00
4.471 ,2595.00
4.470 ,2600.00
4.470 ,2605.00
4.468 ,2610.00
4.468 ,2615.00
4.467 ,2620.00
4.467 ,2625.00
4.467 ,2630.00
4.466 ,2635.00
4.464 ,2640.00
4.464 ,2645.00
4.463 ,2650.00
4.462 ,2655.00
4.462 ,2660.00
4.460 ,2665.00
4.460 ,2670.00
4.459 ,2675.00
4.458 ,2680.00
4.457 ,2685.00
4.456 ,2690.00
4.456 ,2695.00
4.455 ,2700.00
4.454 ,2705.00
4.454 ,2710.00
4.452 ,2715.00
4.452 ,2720.00
4.450 ,2725.00
4.451 ,2730.00
4.449 ,2735.00
4.449 ,2740.00
4.448 ,2745.00
4.448 ,2750.00
4.446 ,2755.00
4.446 ,2760.00
4.445 ,2765.00
4.444 ,2770.00
4.443 ,2775.00
4.443 ,2780.00
4.442 ,2785.00
4.442 ,2790.00
4.441 ,2795.00
4.440 ,2800.00
4.440 ,2805.00
