Conductivity (mS/cm),Time (sec)
11.24 ,0.00
11.08 ,5.00
10.89 ,10.00
10.71 ,15.00
10.51 ,20.00
10.35 ,25.00
10.20 ,30.00
10.07 ,35.00
9.928 ,40.00
9.786 ,45.00
9.641 ,50.00
9.527 ,55.00
9.409 ,60.00
9.296 ,65.00
9.187 ,70.00
9.082 ,75.00
8.978 ,80.00
8.894 ,85.00
8.797 ,90.00
8.706 ,95.00
8.621 ,100.00
8.539 ,105.00
8.458 ,110.00
8.380 ,115.00
8.305 ,120.00
8.231 ,125.00
8.162 ,130.00
8.095 ,135.00
8.037 ,140.00
7.973 ,145.00
7.911 ,150.00
7.850 ,155.00
7.795 ,160.00
7.734 ,165.00
7.679 ,170.00
7.622 ,175.00
7.569 ,180.00
7.521 ,185.00
7.473 ,190.00
7.425 ,195.00
7.379 ,200.00
7.337 ,205.00
7.292 ,210.00
7.247 ,215.00
7.207 ,220.00
7.164 ,225.00
7.130 ,230.00
7.069 ,235.00
7.033 ,240.00
7.001 ,245.00
6.966 ,250.00
6.933 ,255.00
6.894 ,260.00
6.865 ,265.00
6.830 ,270.00
6.801 ,275.00
6.768 ,280.00
6.734 ,285.00
6.704 ,290.00
6.682 ,295.00
6.653 ,300.00
6.627 ,305.00
6.599 ,310.00
6.572 ,315.00
6.539 ,320.00
6.519 ,325.00
6.490 ,330.00
6.470 ,335.00
6.442 ,340.00
6.425 ,345.00
6.401 ,350.00
6.378 ,355.00
6.354 ,360.00
6.334 ,365.00
6.313 ,370.00
6.291 ,375.00
6.269 ,380.00
6.250 ,385.00
6.226 ,390.00
6.212 ,395.00
6.191 ,400.00
6.173 ,405.00
6.154 ,410.00
6.135 ,415.00
6.115 ,420.00
6.099 ,425.00
6.082 ,430.00
6.067 ,435.00
6.049 ,440.00
6.032 ,445.00
6.019 ,450.00
6.003 ,455.00
5.988 ,460.00
5.971 ,465.00
5.956 ,470.00
5.940 ,475.00
5.925 ,480.00
5.911 ,485.00
5.894 ,490.00
5.884 ,495.00
5.867 ,500.00
5.856 ,505.00
5.842 ,510.00
5.829 ,515.00
5.814 ,520.00
5.814 ,525.00
5.789 ,530.00
5.777 ,535.00
5.776 ,540.00
5.762 ,545.00
5.754 ,550.00
5.742 ,555.00
5.730 ,560.00
5.720 ,565.00
5.705 ,570.00
5.696 ,575.00
5.683 ,580.00
5.673 ,585.00
5.661 ,590.00
5.650 ,595.00
5.639 ,600.00
5.631 ,605.00
5.619 ,610.00
5.610 ,615.00
5.601 ,620.00
5.591 ,625.00
5.582 ,630.00
