Conductivity (mS/cm),Time (sec)
10.92 ,0
16.81 ,10
16.15 ,20
15.65 ,30
15.20 ,40
14.71 ,50
14.37 ,60
14.02 ,70
13.64 ,80
13.29 ,90
13.12 ,100
12.85 ,110
12.61 ,120
12.41 ,130
12.22 ,140
12.04 ,150
11.88 ,160
11.70 ,170
11.56 ,180
11.43 ,190
11.31 ,200
11.19 ,210
11.06 ,220
10.94 ,230
10.68 ,240
10.60 ,250
10.53 ,260
10.43 ,270
10.35 ,280
10.28 ,290
10.19 ,300
10.14 ,310
10.07 ,320
10.01 ,330
9.924 ,340
9.882 ,350
9.810 ,360
9.757 ,370
9.707 ,380
9.662 ,390
9.608 ,400
9.556 ,410
9.508 ,420
9.453 ,430
9.426 ,440
9.386 ,450
9.344 ,460
9.330 ,470
9.311 ,480
9.255 ,490
9.242 ,500
9.195 ,510
9.163 ,520
9.128 ,530
9.097 ,540
9.056 ,550
9.028 ,560
8.997 ,570
8.972 ,580
8.946 ,590
8.927 ,600
8.911 ,610
8.876 ,620
8.862 ,630
8.821 ,640
8.811 ,650
8.784 ,660
8.767 ,670
8.732 ,680
8.730 ,690
8.710 ,700
8.682 ,710
8.664 ,720
8.639 ,730
8.628 ,740
8.599 ,750
8.576 ,760
8.565 ,770
8.544 ,780
8.529 ,790
8.514 ,800
8.498 ,810
8.485 ,820
8.466 ,830
8.453 ,840
8.462 ,850
8.441 ,860
8.432 ,870
8.423 ,880
8.408 ,890
8.391 ,900
8.369 ,910
8.365 ,920
8.350 ,930
8.332 ,940
8.305 ,950
8.312 ,960
8.299 ,970
8.291 ,980
8.274 ,990
8.250 ,1000
8.263 ,1010
8.235 ,1020
8.223 ,1030
8.224 ,1040
8.222 ,1050
8.203 ,1060
8.201 ,1070
8.173 ,1080
8.175 ,1090
8.154 ,1100
8.161 ,1110
8.152 ,1120
8.141 ,1130
8.138 ,1140
8.120 ,1150
8.121 ,1160
8.097 ,1170
8.093 ,1180
8.093 ,1190
